[2015-03-04 02:43:51] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:43:56] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 02:44:13] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:44:39] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:44:46] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 02:45:07] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:45:09] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:46:13] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:49:40] EDIT perceptioncheck/views/games/index.html: -2
[2015-03-04 02:51:31] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:51:38] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:52:10] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:52:27] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:52:29] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:52:29] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:52:29] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:52:34] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 02:54:47] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:54:52] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 02:55:03] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:55:23] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:55:32] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:55:33] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:55:33] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:55:33] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:55:33] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:55:52] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:55:59] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 02:56:01] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:04] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:09] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:14] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:18] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:19] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:19] EDIT perceptioncheck/controllers/games.py: 0
